nom,date,cumulative_contacts_isolated
Mongbalu,5/14/26,ND
Mongbalu,5/15/26,3
Rwampara,5/15/26,5
Bunia,5/15/26,4
Mongbalu,5/18/26,12
Rwampara,5/18/26,51
Bunia,5/18/26,13
Nyakunde,5/18/26,3
Mongbalu,5/19/26,16
Rwampara,5/19/26,44
Bunia,5/19/26,43
Nyakunde,5/19/26,8
Komanda,5/19/26,2
Mangala,5/19/26,1
Mongbalu,5/20/26,22
Rwampara,5/20/26,69
Bunia,5/20/26,73
Nyakunde,5/20/26,17
Bambu,5/20/26,ND
Mongbalu,5/21/26,23
Rwampara,5/21/26,81
Bunia,5/21/26,114
Nyakunde,5/21/26,26
Nizi,5/21/26,ND
Kilo,5/21/26,ND
