nom,date,new_confirmed_cases
Mongbalu,5/14/26,0
Mongbalu,5/15/26,0
Rwampara,5/15/26,13
Bunia,5/15/26,0
Mongbalu,5/18/26,1
Rwampara,5/18/26,6
Bunia,5/18/26,6
Nyakunde,5/18/26,4
Goma,5/18/26,1
Katwa,5/18/26,1
Butembo,5/18/26,1
Mongbalu,5/19/26,12
Rwampara,5/19/26,4
Bunia,5/19/26,0
Nyakunde,5/19/26,0
Goma,5/19/26,0
Katwa,5/19/26,0
Butembo,5/19/26,0
Mongbalu,5/20/26,0
Rwampara,5/20/26,3
Bunia,5/20/26,5
Nyakunde,5/20/26,1
Goma,5/20/26,0
Katwa,5/20/26,1
Butembo,5/20/26,0
Bambu,5/20/26,1
Mongbalu,2026-05-21,1
Rwampara,2026-05-21,7
Bunia,2026-05-21,6
Nyakunde,2026-05-21,2
Goma,2026-05-21,0
Katwa,2026-05-21,1
Butembo,2026-05-21,1
Bambu,2026-05-21,0
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1
