nom,date,total_poe_refused_screening
Nizi,2026-05-20,0
Bunia,2026-05-20,0
Rwampara,2026-05-20,0
Tchomia,2026-05-20,0
Nyakunde,2026-05-20,0
Mongbalu,2026-05-20,0
Aru,2026-05-20,0
Mahagi,2026-05-20,0
Nizi,2026-05-21,0
Bunia,2026-05-21,0
Rwampara,2026-05-21,0
Tchomia,2026-05-21,0
Nyakunde,2026-05-21,0
Mongbalu,2026-05-21,0
Nizi,2026-05-22,0
Bunia,2026-05-22,104
Rwampara,2026-05-22,156
Tchomia,2026-05-22,19
Nyakunde,2026-05-22,ND
Mongbalu,2026-05-22,ND
Aru,2026-05-22,133
Nizi,2026-05-23,0
Bunia,2026-05-23,104
Rwampara,2026-05-23,156
Tchomia,2026-05-23,19
Nyakunde,2026-05-23,ND
Mongbalu,2026-05-23,ND
Aru,2026-05-23,133
