origin_hz,CD5401ZS01 | BUNIA,CD5402ZS01 | BOGA,CD5402ZS02 | BUNIA,CD5402ZS03 | GETHY,CD5402ZS04 | KOMANDA,CD5402ZS05 | NYAKUNDE,CD5402ZS06 | RWAMPARA,CD5403ZS01 | LOLWA,CD5403ZS02 | MAMBASA,CD5403ZS03 | MANDIMA,CD5403ZS04 | NIA-NIA,CD5405ZS01 | BAMBU,CD5405ZS02 | DAMAS,CD5405ZS03 | DRODRO,CD5405ZS04 | FATAKI,CD5405ZS05 | JIBA,CD5405ZS06 | KILO,CD5405ZS07 | LINGA,CD5405ZS08 | LITA,CD5405ZS09 | MANGALA,CD5405ZS10 | MONGBALU,CD5405ZS11 | NIZI,CD5405ZS12 | RETHY,CD5405ZS13 | TCHOMIA,CD5407ZS01 | ANGUMU,CD5407ZS02 | AUNGBA,CD5407ZS03 | KAMBALA,CD5407ZS04 | LOGO,CD5407ZS05 | MAHAGI,CD5407ZS06 | NYARAMBE,CD5407ZS07 | RIMBA,CD5409ZS01 | ADI,CD5409ZS02 | ADJA,CD5409ZS03 | ARIWARA,CD5409ZS04 | ARU,CD5409ZS05 | BIRINGI,CD5409ZS06 | LAYBO,CD6101ZS01 | GOMA,CD6105ZS03 | KAYNA,CD6105ZS05 | MANGUREDJIPA,CD6105ZS06 | MASEREKA,CD6107ZS06 | OICHA,CD6109ZS01 | BENI (ville),CD6110ZS01 | BUTEMBO,CD6111ZS05 | RUTSHURU
CD5401ZS01 | BUNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS01 | BOGA,14,2234,0,0,437,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS02 | BUNIA,3004,0,0,0,0,1110,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS03 | GETHY,0,50,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS04 | KOMANDA,370,429,0,0,20067,11420,0,16249,1723,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS05 | NYAKUNDE,0,110,0,0,0,9002,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5402ZS06 | RWAMPARA,0,0,0,0,0,1326,5324,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5403ZS01 | LOLWA,0,0,0,0,5275,240,0,3887,5566,4799,14,0,0,0,0,0,262,52,0,0,46,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5403ZS02 | MAMBASA,0,0,0,0,0,0,70,720,4075,4969,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5403ZS03 | MANDIMA,0,0,0,0,0,0,0,1740,1263,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5403ZS04 | NIA-NIA,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS01 | BAMBU,174,55,0,0,0,0,0,0,0,0,0,4807,0,0,0,0,0,160,0,0,685,0,0,0,0,150,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS02 | DAMAS,2194,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,2141,0,0,0,0,200,0,0,355,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0
CD5405ZS03 | DRODRO,194,0,0,0,0,0,70,0,0,0,0,0,306,5594,206,0,95,3395,0,0,597,857,0,0,0,1207,0,0,115,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
CD5405ZS04 | FATAKI,6312,0,0,0,0,0,5,0,0,0,0,0,0,563,5769,0,376,3245,0,5933,338,3536,7688,0,90,2555,0,210,962,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS05 | JIBA,13,55,0,0,0,0,0,0,0,0,0,0,124,160,0,1442,0,6880,0,35,0,0,453,0,0,58,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS06 | KILO,2070,0,0,0,0,0,44,0,0,0,0,26,0,0,0,0,170,0,0,0,2123,0,0,0,0,0,0,35,4744,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
