,nom,socioeconomic_deprivation
1,Wembo Nyama,0.882000029087066
2,Kole,0.882000029087068
3,Pania Mutombo,0.881862728588405
4,Minga,0.882000029087066
5,Lusambo,0.882000029087066
6,Dikungu,0.882000029087066
7,Vanga Kete,0.882000029087066
8,Lodja,0.882000029087066
9,Omendjadi,0.882000029087067
10,Djalo Djeka,0.882000029087064
11,Katako Kombe,0.882000029087066
12,Bena Dibele,0.882000029087069
13,Kamiji,0.871690170336489
14,Tshitenge,0.826318287852665
15,Miabi,0.819065321173955
16,Ngandajika,0.880751796377817
17,Mulumba,0.866557021811284
18,Tshilenge,0.821474084780285
19,Cilundu,0.831930793037712
20,Lubao,0.881921330054804
21,Kalonda Est,0.875104223631914
22,Kabinda,0.880469986189393
23,Ludimbi Lukula,0.881646818292809
24,Kalambayi Kabanga,0.876119447608242
25,Makota,0.869322870851553
26,Mwene Ditu,0.871069799003706
27,Wikong,0.881938341989625
28,Luputa,0.880782436123519
29,Kanda Kanda,0.880472880280273
30,Bonzola,0.826867109157152
31,Dibindi,0.82825436255012
32,Kansele,0.830150570094119
33,Muya,0.83194612278863
34,Diulu,0.831710143917298
35,Bipemba,0.832295739533404
36,Mpokolo,0.832812691411336
37,Nzaba,0.828319385654731
38,Kabeya Kamuanga,0.855655678948683
39,Mukumbi,0.859591912724333
40,Lukelenge,0.829254636253513
41,Tshishimbi,0.823841110346696
42,Lubilanji,0.827323021495131
43,Kamana,0.875623412859693
44,Kasansa,0.849969791632985
45,Bibanga,0.846054251021392
46,Kalenda,0.871966070502775
47,Tshofa,0.881160144546761
48,Pimu,0.881516496684758
49,Nyanga,0.862683694603294
50,Kalonda Ouest,0.836103728602344
51,Kamonia,0.739182611598317
52,Mutena,0.865454208697328
53,Banga Lubaka,0.880624286338446
54,Kamwesha,0.855316694263334
55,Mweka,0.881700209419001
56,Moba,0.850371309812035
57,Bogosenubia,0.882000011961998
58,Moanda,0.50427660669003
59,Kitona,0.527627415470285
60,Boma,0.744600175696866
61,Boma Bungu,0.782905453469955
62,Seke-Banza,0.804991476085566
63,Inga,0.797448991953064
64,Lukula,0.790306491505162
