,nom,socioeconomic_inequality
1,Wembo Nyama,0.509119330951878
2,Kole,0.449999998433331
3,Pania Mutombo,0.671275679929027
4,Minga,0.86699999330927
5,Lusambo,0.558091001921794
6,Dikungu,NA
7,Vanga Kete,NA
8,Lodja,NA
9,Omendjadi,NA
10,Djalo Djeka,NA
11,Katako Kombe,0.508000016590525
12,Bena Dibele,0.444999996411245
13,Kamiji,0.715692725612047
14,Tshitenge,0.698392355946869
15,Miabi,0.665719647614791
16,Ngandajika,0.836782843661781
17,Mulumba,0.805463341617456
18,Tshilenge,0.715836905016413
19,Cilundu,0.689362043699181
20,Lubao,0.833590662392973
21,Kalonda Est,0.823902598759251
22,Kabinda,0.851742202514602
23,Ludimbi Lukula,0.865367126792022
24,Kalambayi Kabanga,0.83023744006467
25,Makota,0.75611832250333
26,Mwene Ditu,0.761692321885031
27,Wikong,0.728587892804288
28,Luputa,0.833047236537918
29,Kanda Kanda,0.809591399291874
30,Bonzola,0.681779217892285
31,Dibindi,0.684061493395816
32,Kansele,0.681125051123084
33,Muya,0.683298883553892
34,Diulu,0.677750007240638
35,Bipemba,0.673669284981716
36,Mpokolo,0.669213060614065
37,Nzaba,0.674989209663601
38,Kabeya Kamuanga,0.586281952635132
39,Mukumbi,0.632152148664405
40,Lukelenge,0.686999209055241
41,Tshishimbi,0.68168751706897
42,Lubilanji,0.683544774809795
43,Kamana,0.857306938001762
44,Kasansa,0.75552447582417
45,Bibanga,0.751570530541295
46,Kalenda,0.758187887145135
47,Tshofa,0.844638693962923
48,Pimu,0.308372886518436
49,Nyanga,0.475039536489963
50,Kalonda Ouest,0.451348389040463
51,Kamonia,0.498797453816826
52,Mutena,0.480197131003841
53,Banga Lubaka,0.475338733275113
54,Kamwesha,0.448285322623895
55,Mweka,0.448019103098636
56,Moba,0.757996375418327
57,Bogosenubia,0.520621412275094
58,Moanda,0.685266837658787
59,Kitona,0.670045351588606
60,Boma,0.604157989387107
61,Boma Bungu,0.610987219632636
62,Seke-Banza,0.593038042379664
63,Inga,0.606132562327714
64,Lukula,0.624340317866643
65,Tshela,0.646495705781135
66,Vaku,0.611515853289571
67,Kizu,0.617528510566412
68,Kibunzi,0.563796210854058
69,Luozi,0.527732182009288
70,Kimpangu,0.605650357618728
71,Ngidinga,0.609697911811839
72,Boko-Kivulu,0.605174865147385
73,Mbanza-Ngungu,0.60590233730358
74,Kwilu-Ngongo,0.609231130776015
75,Kisantu,0.606156189639035
76,Mikope,0.497589259216403
77,Oshwe,0.55243539899638
78,Bosobe,0.575252722075255
79,Bokoro,0.574847948638508
80,Masi-Manimba,0.725000023932705
81,Yasa-Bonga,0.724965114878625
82,Idiofa,0.724102069746815
83,Ipamu,0.666122525192199
84,Koshibanda,0.663137816012783
85,Kingandu,0.725000027707946
86,Bulungu,0.724954574063843
87,Bagata,0.696302699705725
88,Bandundu,0.600405009847425
89,Kajiji,0.629000001894295
90,Kikwit-Nord,0.725000023841858
91,Lusanga,0.72500002370646
92,Feshi,NA
93,Wamba Lwadi,NA
94,Panzi,NA
95,Tembo,NA
96,Moanza,0.725000027116092
97,Kimbau,NA
98,Kenge,0.702855250631838
