,nom,urban_fraction
1,Wembo Nyama,0.000952870226501286
2,Kole,0.000452458535284208
3,Pania Mutombo,3.89889884538741e-05
4,Minga,0.000115157263908558
5,Lusambo,5.03745895495111e-05
6,Dikungu,0.00208162399529527
7,Vanga Kete,0.00356746484928375
8,Lodja,0.00362241575914266
9,Omendjadi,0
10,Djalo Djeka,0.000462064379472456
11,Katako Kombe,0.000281726825650102
12,Bena Dibele,0.00024620876041742
13,Kamiji,0.000883631754775903
14,Tshitenge,0.063797824834135
15,Miabi,0.0262764949035936
16,Ngandajika,0.0165143807438759
17,Mulumba,0.0203086252853901
18,Tshilenge,0.0860437492653973
19,Cilundu,0.00339790128196843
20,Lubao,0.00077527213210465
21,Kalonda Est,0.00013875808729607
22,Kabinda,0.00230183065379416
23,Ludimbi Lukula,0.000293905650604688
24,Kalambayi Kabanga,0.00182023053680995
25,Makota,0.120330724601943
26,Mwene Ditu,0.047068071945752
27,Wikong,0.0193321826330919
28,Luputa,0.00606514483368945
29,Kanda Kanda,0.00157352787424444
30,Bonzola,0.630326679147902
31,Dibindi,1
32,Kansele,1
33,Muya,0.888088934569206
34,Diulu,0.94863169212611
35,Bipemba,0.71399567743948
36,Mpokolo,0.346603828856713
37,Nzaba,0.69454725274423
38,Kabeya Kamuanga,0.00358262998578043
39,Mukumbi,0.00143067848760004
40,Lukelenge,0.658000046668765
41,Tshishimbi,0.0468038778882907
42,Lubilanji,1
43,Kamana,0.000118426495395003
44,Kasansa,0.0106912279683295
45,Bibanga,0.00157394787018763
46,Kalenda,0.00419834779064348
47,Tshofa,0.000329274168504802
48,Pimu,0.000115926370510392
49,Nyanga,0.000592746676041456
50,Kalonda Ouest,0.0023807236106618
51,Kamonia,0.00151452074054296
52,Mutena,0.00188937949017879
53,Banga Lubaka,0.000436030880699139
54,Kamwesha,0.00197870959554867
55,Mweka,0.0021792409613118
56,Moba,0.000590118627419019
57,Bogosenubia,9.83244754834564e-05
58,Moanda,0.0171539894911039
59,Kitona,0.00651888071183389
60,Boma,0.125485011941401
61,Boma Bungu,7.28292642152908e-05
62,Seke-Banza,0.00276643694060011
63,Inga,0.00193439124135248
64,Lukula,0.00215648813932504
65,Tshela,0
66,Vaku,0.00131738347283709
67,Kizu,0.00201559282786211
68,Kibunzi,0
69,Luozi,0.000963654208691304
70,Kimpangu,0.00352972894828954
71,Ngidinga,0.000232270141344131
72,Boko-Kivulu,0.00421005429366183
73,Mbanza-Ngungu,0.0113005601951949
74,Kwilu-Ngongo,0.0124913567883961
75,Kisantu,0.00385389596265383
76,Mikope,0.0001807263092229
77,Oshwe,0.000271499080208331
78,Bosobe,0.000424840488229855
79,Bokoro,0.00260728172356453
80,Masi-Manimba,0.00234377810088827
81,Yasa-Bonga,0.00144769312549945
82,Idiofa,0.0037575299630587
83,Ipamu,0.0063553298490783
84,Koshibanda,0.000777701476688948
85,Kingandu,0.000107808523346912
86,Bulungu,0.00292175952896808
87,Bagata,0.00144443227053073
88,Bandundu,0.0597159645906941
89,Kajiji,5.6308496270744e-05
90,Kikwit-Nord,0.234234295611161
91,Lusanga,0.00059326119749224
92,Feshi,9.64055602560799e-05
93,Wamba Lwadi,0.000470917558113778
94,Panzi,0.000144750493471934
95,Tembo,0.000519287639787359
96,Moanza,0.000589042424070214
97,Kimbau,2.26904585012839e-05
98,Kenge,0.00156552687087276
99,Boko,0.000226060727014562
100,Viadana,0.000182969489131052
101,Poko,0.000245018247985707
102,Basali,6.55162963192899e-05
103,Basoko,0.0033326800243788
104,Bengamisa,0.000117554240269579
105,Yakusu,0.000782440368842381
106,Yahisuli,8.74926251430733e-05
107,Yabaondo,0.000500178352536194
108,Isangi,0.00216335122959146
109,Yaleko,0.000126875932413811
110,Banalia,0.000204822187755253
111,Bafwasende,0.000171336479388491
112,Bafwagbogbo,3.18656030619815e-05
113,Buta,0.00107427989417235
114,Titule,0.000127771436928424
115,Ganga,0.000470731945691682
116,Vanga,0.00260233943382228
117,Djuma,0.00114457479008198
118,Sia,0.00201761359383661
119,Mungindu,3.60657530313188e-05
120,Kimputu,0.00155198501992468
121,Mosango,0.00159966136105382
122,Pay Kongila,0.00214353321038696
123,Matadi,0.385555613723023
124,Nzanza,0.000750738254573521
125,Ndjili,0.979005253901862
126,Mont Ngafula I,0.0916024406220412
127,Biyela,0.22018432914776
128,Kikimi,0.102970446613337
129,Lemba,0.964747971051539
130,Matete,0.989187067512672
131,Kisenso,0.991064560372625
132,Lingwala,1
133,Barumbu,1
134,Kinshasa,1
135,Limete,1
136,Kalamu II,1
137,Kalamu I,1
138,Bumbu,1
139,Makala,1
140,Ngaba,1
141,Bandalungwa,1
142,Selembao,0.994734108791446
143,Masina I,0.309228348311005
144,Kintambo,1
145,Kasa-Vubu,1
146,Ngiri-Ngiri,1
147,Binza Meteo,0.838820557679195
148,Binza Ozone,0.808505364035446
149,Kikongo,0.000620223402539416
150,Mont Ngafula II,0.202459599283502
151,Sona-Bata,0.00020597248826691
152,Nsele,0.082900163732132
153,Kanzala,0.0421085799940404
154,Tshikapa,0.00515857948078529
155,Kingasani,1
156,Kimbanseke,0.594867866078084
157,Bwamanda,0.000928789941982439
158,Kungu,0.000490092871678754
159,Loko,0.000226041856714923
160,Bangabola,0.000153088020298951
161,Boso Mondanda,2.71837448555325e-05
162,Budjala,0.000583580158822531
163,Binga,0.000203263930501897
164,Yamaluka,0.00597191799072757
165,Boso Manzi,0.000292506858236569
166,Karawa,0.00130720419525171
167,Bominenge,0.000291770747398018
168,Gemena,0.0106794246452816
169,Mbaya,0
170,Bulu,0.00119111071333673
171,Tandala,0.00180940170500474
172,Kibombo,0.000310238087324316
173,Kindu,0.105063197054082
174,Alunguli,0.0907355531559225
175,Kokolo,1
176,Police,1
177,Makiso-Kisangani,0.114523328423323
178,Mangobo,0
179,Kabondo,0
180,Tshopo,0.000218344411710911
181,Kaniama,0.000673804400736876
182,Kalemie,0.000815924588685807
183,Kansimba,5.54276150418769e-05
184,Butumba,0.000291425472161611
185,Kinkondja,4.21328632243694e-05
186,Baka,0.00168156227882956
187,Kiyambi,9.27895597502786e-05
188,Manono,0.00141770248602488
189,Samba,0.000688843699597484
190,Kasongo,0.00162872030848322
191,Kunda,0.000583343069499722
192,Saramabila,0.00154219688607549
193,Kampene,0.000799861782303148
194,Nyemba,0.00120982042266224
195,Nyunzu,0.00052750966249402
196,Kabambare,9.242733633301e-05
197,Pangi,2.12088688441887e-05
198,Kalima,0.00198266895300074
199,Yalimbongo,0.000256051666348832
200,Aketi,0.000306882062964361
201,Lolo,0.00119968594165855
202,Yamongili,0
203,Abuzi,9.23548375222436e-05
204,Yambuku,0.00027482350958239
205,Wasolo,0.000744068373163681
206,Bosondjo,0.000282845563180207
207,Bumba,0.00445181197750127
208,Mondombe,2.45502365903497e-05
209,Djolu,6.25845237835777e-05
210,Opienge,0
211,Obokote,1.77472119431068e-05
212,Lowa,3.15909001780626e-05
213,Wanierukula,6.63636932977689e-06
214,Lubutu,1.74395966301901e-05
215,Kitenda,3.29182875888749e-05
216,Kasongo Lunda,0.00119722577868637
217,Popokabaka,0.000167151549276047
218,Kimvula,2.463863180354e-05
219,Maluku I,1.75480713842938e-05
220,Kimpese,0.00275723134316768
221,Nsona-Mpangu,0.00173023562300556
222,Kangu,0.0011222017308918
223,Kuimba,0.000146678520652609
224,Kinkonzi,0
225,Mangembo,0
226,Gombe-Matadi,0.000273413995126141
227,Masa,0.00623624420389009
228,Bokonzi,0.000325303440585736
229,Mawuya,0.000132492303473786
230,Zongo,0.00665704039545484
231,Libenge,0.000458695025233801
232,Bili (Nord-Ubangi),0.00141270750555904
233,Gbadolite,0.00853634672846848
234,Mobayi Mbongo,0.000582707215871596
235,Yakoma,0.00389099128122046
236,Monga,0.000334588303157846
237,Bondo,0.00126757799530038
238,Bili (Bas-Uele),6.73226829690023e-05
239,Ango,6.07507184939288e-05
240,Opala,4.26162796519032e-05
241,Kahemba,0.000449590171044
242,Gungu,0.00019394481062898
243,Kitangwa,5.17025576549542e-05
244,Mukedi,0.000433642117472537
245,Kongolo,0.0010641754973724
246,Mbulula,0.00113715282446055
247,Kabalo,0.000303961536244248
248,Bukama,0.00122847956922941
249,Kabondo Dianda,0.00111484423613177
250,Kabongo,0.00168217597690099
251,Songa,0.000737607969871152
252,Kayamba,0.000176604837810803
253,Kitenge,2.09135799164744e-05
254,Ankoro,0.000390529959000654
255,Mulongo,0.00203606517404068
256,Lwamba,0.00527006501841444
257,Mukanga,0.00167555451107804
258,Malemba,0.00313085105070402
259,Kinda,0.000208770105438351
260,Kamina,0.00643101427257354
261,Kikwit-Sud,0.247293692129017
262,Kenya,0
263,Kamalondo,0
264,Tshamilemba,0.0846736589628648
265,Pweto,0.000478662787777663
266,Lukafu,7.59089170624052e-05
267,Mufunga Sampwe,0.000134401873939214
268,Kilwa,0.000930179512545511
269,Kapolowe,0.00430690606008144
270,Panda,0
271,Kashobwe,0.000770240911663421
272,Kampemba,0
273,Rwashi,0.000550563496679588
274,Bena Tshiadi,0.000208856319168248
275,Yangala,0.0010675961589066
276,Ilebo,0.00710899086480127
277,Luebo,0.00145896752269193
278,Bena Leka,0.00105126350434067
279,Muetshi,0.00021906188493179
280,Tshikula,0.000114702589063027
281,Dibaya,0.00341363022034331
282,Kalomba,0.00171960068431038
283,Tshibala,0.00127333606203538
284,Mushenge,0.000317077467723606
285,Bulape,0.00133634801047319
286,Masuika,0.00589775470000248
287,Luiza,0.0023038128576808
288,Katoka,0.109246378791858
289,Ndesha,0.103896059673244
290,Tshikaji,0.00950201992607947
291,Bilomba,0.00179301810027268
292,Ndekesha,0.000641025014905691
293,Bunkonde,0.000117134447995934
294,Mikalayi,0.0010627113966905
295,Luambo,0.00199487515665799
296,Katende,0.00208079567048147
297,Ndjoko-Mpunda,0.00143269450922345
298,Lubondaie,0.000341280706009476
299,Kakenge,0.000607225138135558
300,Rwampara,0
301,Bunia,0.0618901364115286
302,Jiba,0.000802557349247876
303,Linga,0.000325457601123816
304,Mangala,0.000302026045926194
305,Damas,0
306,Fataki,0.00620654252529298
307,Drodro,0.00147495677815938
308,Tchomia,0
309,Rethy,0.00499766888630226
310,Nyakunde,0
311,Nizi,0.00915596143368116
312,Bambu,0.000407606814040676
313,Kilo,0
314,Mongbalu,0.00237286535610274
315,Komanda,0.000553139667336029
316,Gethy,9.31304690666509e-05
317,Boga,0
318,Nia-Nia,0.000821365086912052
319,Mandima,0.00310714603712662
320,Lolwa,0
321,Lita,0
322,Boma-Mangbetu,0.00065833000569557
323,Isiro,0.00402367303049896
324,Wamba,0.000621727978382041
325,Doruma,5.82022335551891e-05
326,Pawa,0.00130850415870039
327,Niangara,0.000223434893502398
328,Rungu,0.000306471347281312
329,Mambasa,0.000341867729610397
330,Rimba,0.000548748578172195
331,Logo,0.00528617290926635
332,Angumu,0
333,Nyarambe,0.00381024927431335
334,Mahagi,0.00303737796765944
335,Makoro,0.000263049116715789
336,Kambala,0
337,Biringi,0
338,Laybo,0
339,Ariwara,0.0125293301893261
340,Adi,0.00101500183509945
341,Aru,0.0104881336852411
342,Adja,8.2847758352551e-05
343,Aungba,0
344,Faradje,4.50454254814684e-05
345,Gombari,0.000338415351774876
346,Dungu,0.000556343697112499
347,Watsa,0.00314937298620476
348,Demba,0.00330612996007568
349,Mutoto,0
