,nom,gdp_pc
1,Wembo Nyama,932.387397898964
2,Kole,941.570879814966
3,Pania Mutombo,849.919801412064
4,Minga,793.363144992577
5,Lusambo,830.6536079897
6,Dikungu,820.800557878011
7,Vanga Kete,713.423192363597
8,Lodja,712.477769273335
9,Omendjadi,761.285410146904
10,Djalo Djeka,934.704803427762
11,Katako Kombe,956.276158555078
12,Bena Dibele,931.891189632402
13,Kamiji,830.716491483733
14,Tshitenge,1150.9940253056
15,Miabi,792.366234983364
16,Ngandajika,723.390057150714
17,Mulumba,738.168811350075
18,Tshilenge,991.983557769389
19,Cilundu,775.394084426107
20,Lubao,666.196991625968
21,Kalonda Est,706.904442087243
22,Kabinda,710.118365529472
23,Ludimbi Lukula,706.117151972033
24,Kalambayi Kabanga,726.740385050118
25,Makota,830.6245894831
26,Mwene Ditu,1021.5334520869
27,Wikong,675.920759877424
28,Luputa,678.249541348584
29,Kanda Kanda,703.579759052517
30,Bonzola,1812.16479949758
31,Dibindi,2224.60602048329
32,Kansele,2140.2852356464
33,Muya,2043.76518653962
34,Diulu,1905.214770402
35,Bipemba,1681.30362110529
36,Mpokolo,1454.58463467823
37,Nzaba,1553.77017156699
38,Kabeya Kamuanga,732.114509474636
39,Mukumbi,1356.55322600999
40,Lukelenge,1990.26149158034
41,Tshishimbi,1315.08835005077
42,Lubilanji,2054.56210723825
43,Kamana,664.607121106152
44,Kasansa,970.892192602137
45,Bibanga,838.406044188472
46,Kalenda,678.634273710583
47,Tshofa,666.459029218816
48,Pimu,970.974549526258
49,Nyanga,866.744579124366
50,Kalonda Ouest,874.70204458561
51,Kamonia,1158.63816068687
52,Mutena,963.160782908494
53,Banga Lubaka,695.664958964648
54,Kamwesha,872.991007386973
55,Mweka,787.812808721497
56,Moba,777.534668362369
57,Bogosenubia,494.516158517362
58,Moanda,921.305707774327
59,Kitona,887.514693480443
60,Boma,2220.26631784265
61,Boma Bungu,939.450957496644
62,Seke-Banza,675.608579809911
63,Inga,676.914049937026
64,Lukula,873.311969759088
65,Tshela,1224.76293224845
66,Vaku,966.762879245435
67,Kizu,996.997169844698
68,Kibunzi,688.090429259173
69,Luozi,727.170789955677
70,Kimpangu,1154.43670478712
71,Ngidinga,873.033465409552
72,Boko-Kivulu,708.940738829334
73,Mbanza-Ngungu,702
74,Kwilu-Ngongo,703.295951306278
75,Kisantu,793.009910265244
76,Mikope,681.77838679222
77,Oshwe,637.550249455203
78,Bosobe,634.911046243714
79,Bokoro,668.229812282817
80,Masi-Manimba,629.706729409816
81,Yasa-Bonga,633.073792091246
82,Idiofa,721.650452703896
83,Ipamu,715.417490325064
84,Koshibanda,720.027651897512
85,Kingandu,627.276843682658
86,Bulungu,797.574472931863
87,Bagata,698.342309794314
88,Bandundu,753.405261920685
89,Kajiji,1202.34261959822
90,Kikwit-Nord,1516.66388589018
91,Lusanga,816.855357770697
92,Feshi,800.566409575776
93,Wamba Lwadi,632.214202639237
94,Panzi,635.549397402191
95,Tembo,1404.55643703106
96,Moanza,635.52948689025
97,Kimbau,753.748441961906
98,Kenge,751.80212193442
99,Boko,765.955352479201
100,Viadana,719.742005626515
101,Poko,717.989736246784
102,Basali,671.106155817467
103,Basoko,668.78504251528
104,Bengamisa,819.735998736296
105,Yakusu,744.78709799464
106,Yahisuli,679.35081587227
107,Yabaondo,680.46807519555
108,Isangi,680.99756039031
109,Yaleko,689.953196631063
110,Banalia,776.686830252345
111,Bafwasende,697.718742457654
