nom,date,cumulative_confirmed_cases
Mongbwalu,2026-05-14,0
Mongbwalu,2026-05-15,0
Rwampara,2026-05-15,13
Bunia,2026-05-15,0
Mongbwalu,2026-05-18,1
Rwampara,2026-05-18,19
Bunia,2026-05-18,6
Nyankunde,2026-05-18,4
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbwalu,2026-05-19,13
Rwampara,2026-05-19,25
Bunia,2026-05-19,6
Nyankunde,2026-05-19,4
Goma,2026-05-19,1
Katwa,2026-05-19,1
Butembo,2026-05-19,1
Mongbwalu,2026-05-20,13
Rwampara,2026-05-20,24
Bunia,2026-05-20,11
Nyankunde,2026-05-20,5
Goma,2026-05-20,1
Katwa,2026-05-20,1
Butembo,2026-05-20,1
Bambu,2026-05-20,1
