nom,date,cumulative_confirmed_deaths
Mongbwalu,2026-05-14,ND
Mongbwalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbwalu,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-18,ND
Nyankunde,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbwalu,2026-05-19,0
Rwampara,2026-05-19,0
Bunia,2026-05-19,0
Nyankunde,2026-05-19,0
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbwalu,2026-05-20,0
Rwampara,2026-05-20,0
Bunia,2026-05-20,0
Nyankunde,2026-05-20,0
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Butembo,2026-05-20,ND
Bambu,2026-05-20,ND
