nom,date,cumulative_suspected_cases
Mongbalu,14/05/2026,246
Mongbalu,15/05/2026,246
Rwampara,15/05/2026,72
Bunia,15/05/2026,8
Mongbalu,18/05/2026,302
Rwampara,18/05/2026,136
Bunia,18/05/2026,61
Nyakunde,18/05/2026,14
Goma,18/05/2026,1
Katwa,18/05/2026,1
Butembo,18/05/2026,1
Mongbalu,19/05/2026,309
Rwampara,19/05/2026,154
Bunia,19/05/2026,90
Nyakunde,19/05/2026,19
Goma,19/05/2026,1
Katwa,19/05/2026,1
Butembo,19/05/2026,1
Mongbalu,20/05/2026,317
Rwampara,20/05/2026,179
Bunia,20/05/2026,125
Nyakunde,20/05/2026,28
Goma,20/05/2026,1
Katwa,20/05/2026,13
Butembo,20/05/2026,7
Bambu,20/05/2026,2
Mongbalu,21/05/2026,322
Rwampara,21/05/2026,193
Bunia,21/05/2026,166
Nyakunde,21/05/2026,38
Goma,21/05/2026,1
Katwa,21/05/2026,13
Butembo,21/05/2026,7
Bambu,21/05/2026,2
Nizi,21/05/2026,1
Kilo,21/05/2026,1
Miti-Murhesa,21/05/2026,1
Mongbalu,22/05/2026,339
Rwampara,22/05/2026,221
Bunia,22/05/2026,227
Nyakunde,22/05/2026,45
Goma,22/05/2026,1
Katwa,22/05/2026,13
Butembo,22/05/2026,7
Bambu,22/05/2026,4
Nizi,22/05/2026,5
Kilo,22/05/2026,6
Miti-Murhesa,22/05/2026,1
Aru,22/05/2026,3
Mongbalu,23/05/2026,339
Rwampara,23/05/2026,228
Bunia,23/05/2026,249
Nyakunde,23/05/2026,45
Goma,23/05/2026,1
Katwa,23/05/2026,13
Butembo,23/05/2026,7
Bambu,23/05/2026,6
Nizi,23/05/2026,6
Kilo,23/05/2026,6
Miti-Murhesa,23/05/2026,1
Aru,23/05/2026,4
Mongbalu,24/05/2026,339
Rwampara,24/05/2026,228
Bunia,24/05/2026,249
Nyakunde,24/05/2026,45
Goma,24/05/2026,0
Katwa,24/05/2026,0
Butembo,24/05/2026,7
Bambu,24/05/2026,6
Nizi,24/05/2026,6
Kilo,24/05/2026,8
Miti-Murhesa,24/05/2026,1
Aru,24/05/2026,4
Mongbalu,25/05/2026,364
Rwampara,25/05/2026,240
Bunia,25/05/2026,270
Nyankunde,25/05/2026,66
Goma,25/05/2026,0
Katwa,25/05/2026,13
Butembo,25/05/2026,7
Bambu,25/05/2026,6
Nizi,25/05/2026,9
Kilo,25/05/2026,18
Miti-Murhesa,25/05/2026,1
Aru,25/05/2026,4
Oicha,25/05/2026,ND
Kalunguta,25/05/2026,ND
Karisimbi,25/05/2026,ND
Mongbalu,26/05/2026,375
Rwampara,26/05/2026,240
Bunia,26/05/2026,279
Nyankunde,26/05/2026,70
Goma,26/05/2026,0
Butembo,26/05/2026,10
Bambu,26/05/2026,10
Nizi,26/05/2026,15
Kilo,26/05/2026,18
Miti-Murhesa,26/05/2026,1
Aru,26/05/2026,4
Oicha,26/05/2026,8
Kalunguta,26/05/2026,2
Karisimbi,26/05/2026,5
Damas,26/05/2026,4
Fataki,26/05/2026,1
Mambasa,26/05/2026,5
Rimba,26/05/2026,14
Kyondo,26/05/2026,3
Mongbalu,27/05/2026,339
Rwampara,27/05/2026,228
Bunia,27/05/2026,249
Nyankunde,27/05/2026,45
Goma,27/05/2026,0
Butembo,27/05/2026,7
Bambu,27/05/2026,6
Nizi,27/05/2026,6
Kilo,27/05/2026,8
Miti-Murhesa,27/05/2026,1
Aru,27/05/2026,4
Oicha,27/05/2026,0
Kalunguta,27/05/2026,13
Karisimbi,27/05/2026,ND
Damas,27/05/2026,ND
Fataki,27/05/2026,ND
Mambasa,27/05/2026,ND
Rimba,27/05/2026,ND
Kyondo,27/05/2026,ND
