nom,date,cumulative_suspected_deaths
Mongbalu,2026-05-14,57
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,74
Rwampara,2026-05-18,38
Bunia,2026-05-18,18
Nyakunde,2026-05-18,1
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbalu,2026-05-19,77
Rwampara,2026-05-19,43
Bunia,2026-05-19,23
Nyakunde,2026-05-19,5
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbalu,2026-05-20,80
Rwampara,2026-05-20,44
Bunia,2026-05-20,31
Nyakunde,2026-05-20,5
Goma,2026-05-20,0
Katwa,2026-05-20,0
Butembo,2026-05-20,0
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,84
Rwampara,2026-05-21,51
Bunia,2026-05-21,34
Nyakunde,2026-05-21,6
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti-Murhesa,2026-05-21,0
Mongbalu,2026-05-22,88
Rwampara,2026-05-22,63
Bunia,2026-05-22,42
Nyakunde,2026-05-22,8
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,1
Kilo,2026-05-22,2
Miti-Murhesa,2026-05-22,0
Mongbalu,2026-05-23,88
Rwampara,2026-05-23,69
Bunia,2026-05-23,48
Nyakunde,2026-05-23,8
Goma,2026-05-23,0
Katwa,2026-05-23,0
Butembo,2026-05-23,0
Bambu,2026-05-23,2
Nizi,2026-05-23,2
Kilo,2026-05-23,2
Miti-Murhesa,2026-05-23,0
Aru,2026-05-23,1
