nom,date,escaped
Bunia,2026-05-20,1
Rwampara,2026-05-20,1
Mongbalu,2026-05-20,2
Nyakunde,2026-05-20,0
Bunia,2026-05-21,9
Rwampara,2026-05-21,0
Mongbalu,2026-05-21,1
Nyakunde,2026-05-21,0
Bunia,2026-05-22,ND
Rwampara,2026-05-22,ND
Mongbalu,2026-05-22,ND
Nyakunde,2026-05-22,ND
Bunia,2026-05-23,5
Rwampara,2026-05-23,0
Mongbalu,2026-05-23,18
Nyakunde,2026-05-23,0
Aru,2026-05-23,0
Bunia,2026-05-24,4
Rwampara,2026-05-24,2
Mongbalu,2026-05-24,0
Nyakunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,3
Rwampara,2026-05-27,0
Mongbalu,2026-05-27,0
Nyakunde,2026-05-27,0
Bambu,2026-05-27,0
