nom,date,national_cumulative_confirmed_cases
Wembo Nyama,14/05/2026,8
Kole,14/05/2026,8
Pania Mutombo,14/05/2026,8
Minga,14/05/2026,8
Lusambo,14/05/2026,8
Dikungu,14/05/2026,8
Vanga Kete,14/05/2026,8
Lodja,14/05/2026,8
Omendjadi,14/05/2026,8
Djalo Djeka,14/05/2026,8
Katako Kombe,14/05/2026,8
Bena Dibele,14/05/2026,8
Kamiji,14/05/2026,8
Tshitenge,14/05/2026,8
Miabi,14/05/2026,8
Ngandajika,14/05/2026,8
Mulumba,14/05/2026,8
Tshilenge,14/05/2026,8
Cilundu,14/05/2026,8
Lubao,14/05/2026,8
Kalonda Est,14/05/2026,8
Kabinda,14/05/2026,8
Ludimbi Lukula,14/05/2026,8
Kalambayi Kabanga,14/05/2026,8
Makota,14/05/2026,8
Mwene Ditu,14/05/2026,8
Wikong,14/05/2026,8
Luputa,14/05/2026,8
Kanda Kanda,14/05/2026,8
Bonzola,14/05/2026,8
Dibindi,14/05/2026,8
Kansele,14/05/2026,8
Muya,14/05/2026,8
Diulu,14/05/2026,8
Bipemba,14/05/2026,8
Mpokolo,14/05/2026,8
Nzaba,14/05/2026,8
Kabeya Kamuanga,14/05/2026,8
Mukumbi,14/05/2026,8
Lukelenge,14/05/2026,8
Tshishimbi,14/05/2026,8
Lubilanji,14/05/2026,8
Kamana,14/05/2026,8
Kasansa,14/05/2026,8
Bibanga,14/05/2026,8
Kalenda,14/05/2026,8
Tshofa,14/05/2026,8
Pimu,14/05/2026,8
Nyanga,14/05/2026,8
Kalonda Ouest,14/05/2026,8
Kamonia,14/05/2026,8
Mutena,14/05/2026,8
Banga Lubaka,14/05/2026,8
Kamwesha,14/05/2026,8
Mweka,14/05/2026,8
Moba,14/05/2026,8
Bogosenubia,14/05/2026,8
Moanda,14/05/2026,8
Kitona,14/05/2026,8
Boma,14/05/2026,8
Boma Bungu,14/05/2026,8
Seke-Banza,14/05/2026,8
Inga,14/05/2026,8
Lukula,14/05/2026,8
Tshela,14/05/2026,8
Vaku,14/05/2026,8
Kizu,14/05/2026,8
Kibunzi,14/05/2026,8
Luozi,14/05/2026,8
Kimpangu,14/05/2026,8
Ngidinga,14/05/2026,8
Boko-Kivulu,14/05/2026,8
Mbanza-Ngungu,14/05/2026,8
Kwilu-Ngongo,14/05/2026,8
Kisantu,14/05/2026,8
Mikope,14/05/2026,8
Oshwe,14/05/2026,8
Bosobe,14/05/2026,8
Bokoro,14/05/2026,8
Masi-Manimba,14/05/2026,8
Yasa-Bonga,14/05/2026,8
Idiofa,14/05/2026,8
Ipamu,14/05/2026,8
Koshibanda,14/05/2026,8
Kingandu,14/05/2026,8
Bulungu,14/05/2026,8
Bagata,14/05/2026,8
Bandundu,14/05/2026,8
Kajiji,14/05/2026,8
Kikwit-Nord,14/05/2026,8
Lusanga,14/05/2026,8
Feshi,14/05/2026,8
Wamba Lwadi,14/05/2026,8
Panzi,14/05/2026,8
Tembo,14/05/2026,8
Moanza,14/05/2026,8
Kimbau,14/05/2026,8
Kenge,14/05/2026,8
Boko,14/05/2026,8
Viadana,14/05/2026,8
Poko,14/05/2026,8
Basali,14/05/2026,8
Basoko,14/05/2026,8
Bengamisa,14/05/2026,8
Yakusu,14/05/2026,8
Yahisuli,14/05/2026,8
Yabaondo,14/05/2026,8
Isangi,14/05/2026,8
Yaleko,14/05/2026,8
Banalia,14/05/2026,8
Bafwasende,14/05/2026,8
Bafwagbogbo,14/05/2026,8
Buta,14/05/2026,8
Titule,14/05/2026,8
Ganga,14/05/2026,8
Vanga,14/05/2026,8
Djuma,14/05/2026,8
Sia,14/05/2026,8
Mungindu,14/05/2026,8
Kimputu,14/05/2026,8
Mosango,14/05/2026,8
Pay Kongila,14/05/2026,8
Matadi,14/05/2026,8
Nzanza,14/05/2026,8
Ndjili,14/05/2026,8
Mont Ngafula I,14/05/2026,8
Biyela,14/05/2026,8
Kikimi,14/05/2026,8
Lemba,14/05/2026,8
Matete,14/05/2026,8
Kisenso,14/05/2026,8
Lingwala,14/05/2026,8
Barumbu,14/05/2026,8
Kinshasa,14/05/2026,8
Limete,14/05/2026,8
Kalamu II,14/05/2026,8
Kalamu I,14/05/2026,8
Bumbu,14/05/2026,8
Makala,14/05/2026,8
Ngaba,14/05/2026,8
Bandalungwa,14/05/2026,8
Selembao,14/05/2026,8
Masina I,14/05/2026,8
Kintambo,14/05/2026,8
Kasa-Vubu,14/05/2026,8
Ngiri-Ngiri,14/05/2026,8
Binza Meteo,14/05/2026,8
Binza Ozone,14/05/2026,8
Kikongo,14/05/2026,8
Mont Ngafula II,14/05/2026,8
Sona-Bata,14/05/2026,8
Nsele,14/05/2026,8
Kanzala,14/05/2026,8
Tshikapa,14/05/2026,8
Kingasani,14/05/2026,8
Kimbanseke,14/05/2026,8
Bwamanda,14/05/2026,8
Kungu,14/05/2026,8
Loko,14/05/2026,8
Bangabola,14/05/2026,8
Boso Mondanda,14/05/2026,8
Budjala,14/05/2026,8
Binga,14/05/2026,8
Yamaluka,14/05/2026,8
Boso Manzi,14/05/2026,8
Karawa,14/05/2026,8
Bominenge,14/05/2026,8
Gemena,14/05/2026,8
Mbaya,14/05/2026,8
Bulu,14/05/2026,8
Tandala,14/05/2026,8
Kibombo,14/05/2026,8
Kindu,14/05/2026,8
Alunguli,14/05/2026,8
Kokolo,14/05/2026,8
Police,14/05/2026,8
Makiso-Kisangani,14/05/2026,8
Mangobo,14/05/2026,8
Kabondo,14/05/2026,8
Tshopo,14/05/2026,8
Kaniama,14/05/2026,8
Kalemie,14/05/2026,8
Kansimba,14/05/2026,8
Butumba,14/05/2026,8
Kinkondja,14/05/2026,8
Baka,14/05/2026,8
Kiyambi,14/05/2026,8
Manono,14/05/2026,8
Samba,14/05/2026,8
Kasongo,14/05/2026,8
Kunda,14/05/2026,8
Saramabila,14/05/2026,8
Kampene,14/05/2026,8
Nyemba,14/05/2026,8
Nyunzu,14/05/2026,8
Kabambare,14/05/2026,8
Pangi,14/05/2026,8
Kalima,14/05/2026,8
Yalimbongo,14/05/2026,8
Aketi,14/05/2026,8
Lolo,14/05/2026,8
Yamongili,14/05/2026,8
Abuzi,14/05/2026,8
Yambuku,14/05/2026,8
Wasolo,14/05/2026,8
Bosondjo,14/05/2026,8
Bumba,14/05/2026,8
Mondombe,14/05/2026,8
Djolu,14/05/2026,8
Opienge,14/05/2026,8
Obokote,14/05/2026,8
Lowa,14/05/2026,8
Wanierukula,14/05/2026,8
Lubutu,14/05/2026,8
Kitenda,14/05/2026,8
Kasongo Lunda,14/05/2026,8
Popokabaka,14/05/2026,8
Kimvula,14/05/2026,8
Maluku I,14/05/2026,8
Kimpese,14/05/2026,8
Nsona-Mpangu,14/05/2026,8
Kangu,14/05/2026,8
Kuimba,14/05/2026,8
Kinkonzi,14/05/2026,8
Mangembo,14/05/2026,8
Gombe-Matadi,14/05/2026,8
Masa,14/05/2026,8
Bokonzi,14/05/2026,8
Mawuya,14/05/2026,8
Zongo,14/05/2026,8
Libenge,14/05/2026,8
Bili (Nord-Ubangi),14/05/2026,8
Gbadolite,14/05/2026,8
Mobayi Mbongo,14/05/2026,8
Yakoma,14/05/2026,8
Monga,14/05/2026,8
Bondo,14/05/2026,8
Bili (Bas-Uele),14/05/2026,8
Ango,14/05/2026,8
Opala,14/05/2026,8
Kahemba,14/05/2026,8
Gungu,14/05/2026,8
Kitangwa,14/05/2026,8
Mukedi,14/05/2026,8
Kongolo,14/05/2026,8
