nom,date,national_cumulative_suspected_cases
Wembo Nyama,5/27/26,906
Kole,5/27/26,906
Pania Mutombo,5/27/26,906
Minga,5/27/26,906
Lusambo,5/27/26,906
Dikungu,5/27/26,906
Vanga Kete,5/27/26,906
Lodja,5/27/26,906
Omendjadi,5/27/26,906
Djalo Djeka,5/27/26,906
Katako Kombe,5/27/26,906
Bena Dibele,5/27/26,906
Kamiji,5/27/26,906
Tshitenge,5/27/26,906
Miabi,5/27/26,906
Ngandajika,5/27/26,906
Mulumba,5/27/26,906
Tshilenge,5/27/26,906
Cilundu,5/27/26,906
Lubao,5/27/26,906
Kalonda Est,5/27/26,906
Kabinda,5/27/26,906
Ludimbi Lukula,5/27/26,906
Kalambayi Kabanga,5/27/26,906
Makota,5/27/26,906
Mwene Ditu,5/27/26,906
Wikong,5/27/26,906
Luputa,5/27/26,906
Kanda Kanda,5/27/26,906
Bonzola,5/27/26,906
Dibindi,5/27/26,906
Kansele,5/27/26,906
Muya,5/27/26,906
Diulu,5/27/26,906
Bipemba,5/27/26,906
Mpokolo,5/27/26,906
Nzaba,5/27/26,906
Kabeya Kamuanga,5/27/26,906
Mukumbi,5/27/26,906
Lukelenge,5/27/26,906
Tshishimbi,5/27/26,906
Lubilanji,5/27/26,906
Kamana,5/27/26,906
Kasansa,5/27/26,906
Bibanga,5/27/26,906
Kalenda,5/27/26,906
Tshofa,5/27/26,906
Pimu,5/27/26,906
Nyanga,5/27/26,906
Kalonda Ouest,5/27/26,906
Kamonia,5/27/26,906
Mutena,5/27/26,906
Banga Lubaka,5/27/26,906
Kamwesha,5/27/26,906
Mweka,5/27/26,906
Moba,5/27/26,906
Bogosenubia,5/27/26,906
Moanda,5/27/26,906
Kitona,5/27/26,906
Boma,5/27/26,906
Boma Bungu,5/27/26,906
Seke-Banza,5/27/26,906
Inga,5/27/26,906
Lukula,5/27/26,906
Tshela,5/27/26,906
Vaku,5/27/26,906
Kizu,5/27/26,906
Kibunzi,5/27/26,906
Luozi,5/27/26,906
Kimpangu,5/27/26,906
Ngidinga,5/27/26,906
Boko-Kivulu,5/27/26,906
Mbanza-Ngungu,5/27/26,906
Kwilu-Ngongo,5/27/26,906
Kisantu,5/27/26,906
Mikope,5/27/26,906
Oshwe,5/27/26,906
Bosobe,5/27/26,906
Bokoro,5/27/26,906
Masi-Manimba,5/27/26,906
Yasa-Bonga,5/27/26,906
Idiofa,5/27/26,906
Ipamu,5/27/26,906
Koshibanda,5/27/26,906
Kingandu,5/27/26,906
Bulungu,5/27/26,906
Bagata,5/27/26,906
Bandundu,5/27/26,906
Kajiji,5/27/26,906
Kikwit-Nord,5/27/26,906
Lusanga,5/27/26,906
Feshi,5/27/26,906
Wamba Lwadi,5/27/26,906
Panzi,5/27/26,906
Tembo,5/27/26,906
Moanza,5/27/26,906
Kimbau,5/27/26,906
Kenge,5/27/26,906
Boko,5/27/26,906
Viadana,5/27/26,906
Poko,5/27/26,906
Basali,5/27/26,906
Basoko,5/27/26,906
Bengamisa,5/27/26,906
Yakusu,5/27/26,906
Yahisuli,5/27/26,906
Yabaondo,5/27/26,906
Isangi,5/27/26,906
Yaleko,5/27/26,906
Banalia,5/27/26,906
Bafwasende,5/27/26,906
Bafwagbogbo,5/27/26,906
Buta,5/27/26,906
Titule,5/27/26,906
Ganga,5/27/26,906
Vanga,5/27/26,906
Djuma,5/27/26,906
Sia,5/27/26,906
Mungindu,5/27/26,906
Kimputu,5/27/26,906
Mosango,5/27/26,906
Pay Kongila,5/27/26,906
Matadi,5/27/26,906
Nzanza,5/27/26,906
Ndjili,5/27/26,906
Mont Ngafula I,5/27/26,906
Biyela,5/27/26,906
Kikimi,5/27/26,906
Lemba,5/27/26,906
Matete,5/27/26,906
Kisenso,5/27/26,906
Lingwala,5/27/26,906
Barumbu,5/27/26,906
Kinshasa,5/27/26,906
Limete,5/27/26,906
Kalamu II,5/27/26,906
Kalamu I,5/27/26,906
Bumbu,5/27/26,906
Makala,5/27/26,906
Ngaba,5/27/26,906
Bandalungwa,5/27/26,906
Selembao,5/27/26,906
Masina I,5/27/26,906
Kintambo,5/27/26,906
Kasa-Vubu,5/27/26,906
Ngiri-Ngiri,5/27/26,906
Binza Meteo,5/27/26,906
Binza Ozone,5/27/26,906
Kikongo,5/27/26,906
Mont Ngafula II,5/27/26,906
Sona-Bata,5/27/26,906
Nsele,5/27/26,906
Kanzala,5/27/26,906
Tshikapa,5/27/26,906
Kingasani,5/27/26,906
Kimbanseke,5/27/26,906
Bwamanda,5/27/26,906
Kungu,5/27/26,906
Loko,5/27/26,906
Bangabola,5/27/26,906
Boso Mondanda,5/27/26,906
Budjala,5/27/26,906
Binga,5/27/26,906
Yamaluka,5/27/26,906
Boso Manzi,5/27/26,906
Karawa,5/27/26,906
Bominenge,5/27/26,906
Gemena,5/27/26,906
Mbaya,5/27/26,906
Bulu,5/27/26,906
Tandala,5/27/26,906
Kibombo,5/27/26,906
Kindu,5/27/26,906
Alunguli,5/27/26,906
Kokolo,5/27/26,906
Police,5/27/26,906
Makiso-Kisangani,5/27/26,906
Mangobo,5/27/26,906
Kabondo,5/27/26,906
Tshopo,5/27/26,906
Kaniama,5/27/26,906
Kalemie,5/27/26,906
Kansimba,5/27/26,906
Butumba,5/27/26,906
Kinkondja,5/27/26,906
Baka,5/27/26,906
Kiyambi,5/27/26,906
Manono,5/27/26,906
Samba,5/27/26,906
Kasongo,5/27/26,906
Kunda,5/27/26,906
Saramabila,5/27/26,906
Kampene,5/27/26,906
Nyemba,5/27/26,906
Nyunzu,5/27/26,906
Kabambare,5/27/26,906
Pangi,5/27/26,906
Kalima,5/27/26,906
Yalimbongo,5/27/26,906
Aketi,5/27/26,906
Lolo,5/27/26,906
Yamongili,5/27/26,906
Abuzi,5/27/26,906
Yambuku,5/27/26,906
Wasolo,5/27/26,906
Bosondjo,5/27/26,906
Bumba,5/27/26,906
Mondombe,5/27/26,906
Djolu,5/27/26,906
Opienge,5/27/26,906
Obokote,5/27/26,906
Lowa,5/27/26,906
Wanierukula,5/27/26,906
Lubutu,5/27/26,906
Kitenda,5/27/26,906
Kasongo Lunda,5/27/26,906
Popokabaka,5/27/26,906
Kimvula,5/27/26,906
Maluku I,5/27/26,906
Kimpese,5/27/26,906
Nsona-Mpangu,5/27/26,906
Kangu,5/27/26,906
Kuimba,5/27/26,906
Kinkonzi,5/27/26,906
Mangembo,5/27/26,906
Gombe-Matadi,5/27/26,906
Masa,5/27/26,906
Bokonzi,5/27/26,906
Mawuya,5/27/26,906
Zongo,5/27/26,906
Libenge,5/27/26,906
Bili (Nord-Ubangi),5/27/26,906
Gbadolite,5/27/26,906
Mobayi Mbongo,5/27/26,906
Yakoma,5/27/26,906
Monga,5/27/26,906
Bondo,5/27/26,906
Bili (Bas-Uele),5/27/26,906
Ango,5/27/26,906
Opala,5/27/26,906
Kahemba,5/27/26,906
Gungu,5/27/26,906
Kitangwa,5/27/26,906
Mukedi,5/27/26,906
Kongolo,5/27/26,906
Mbulula,5/27/26,906
Kabalo,5/27/26,906
Bukama,5/27/26,906
Kabondo Dianda,5/27/26,906
Kabongo,5/27/26,906
Songa,5/27/26,906
Kayamba,5/27/26,906
Kitenge,5/27/26,906
Ankoro,5/27/26,906
Mulongo,5/27/26,906
Lwamba,5/27/26,906
Mukanga,5/27/26,906
Malemba,5/27/26,906
Kinda,5/27/26,906
Kamina,5/27/26,906
Kikwit-Sud,5/27/26,906
Kenya,5/27/26,906
Kamalondo,5/27/26,906
Tshamilemba,5/27/26,906
Pweto,5/27/26,906
Lukafu,5/27/26,906
Mufunga Sampwe,5/27/26,906
Kilwa,5/27/26,906
Kapolowe,5/27/26,906
Panda,5/27/26,906
Kashobwe,5/27/26,906
Kampemba,5/27/26,906
Rwashi,5/27/26,906
Bena Tshiadi,5/27/26,906
Yangala,5/27/26,906
Ilebo,5/27/26,906
Luebo,5/27/26,906
Bena Leka,5/27/26,906
Muetshi,5/27/26,906
Tshikula,5/27/26,906
Dibaya,5/27/26,906
Kalomba,5/27/26,906
Tshibala,5/27/26,906
Mushenge,5/27/26,906
Bulape,5/27/26,906
Masuika,5/27/26,906
Luiza,5/27/26,906
Katoka,5/27/26,906
Ndesha,5/27/26,906
Tshikaji,5/27/26,906
Bilomba,5/27/26,906
Ndekesha,5/27/26,906
Bunkonde,5/27/26,906
Mikalayi,5/27/26,906
Luambo,5/27/26,906
Katende,5/27/26,906
Ndjoko-Mpunda,5/27/26,906
Lubondaie,5/27/26,906
Kakenge,5/27/26,906
Rwampara,5/27/26,906
Bunia,5/27/26,906
Jiba,5/27/26,906
