nom,date,new_confirmed_cases
Mongbwalu,2026-05-14,0
Mongbwalu,2026-05-15,0
Rwampara,2026-05-15,13
Bunia,2026-05-15,0
Mongbwalu,2026-05-18,1
Rwampara,2026-05-18,6
Bunia,2026-05-18,6
Nyankunde,2026-05-18,4
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbwalu,2026-05-19,12
Rwampara,2026-05-19,4
Bunia,2026-05-19,0
Nyankunde,2026-05-19,0
Goma,2026-05-19,0
Katwa,2026-05-19,0
Butembo,2026-05-19,0
Mongbwalu,2026-05-20,0
Rwampara,2026-05-20,3
Bunia,2026-05-20,5
Nyankunde,2026-05-20,1
Goma,2026-05-20,0
Katwa,2026-05-20,1
Butembo,2026-05-20,0
Bambu,2026-05-20,1
