nom,date,new_contacts_isolated
Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,3
Rwampara,2026-05-15,5
Bunia,2026-05-15,4
Mongbalu,2026-05-18,9
Rwampara,2026-05-18,46
Bunia,2026-05-18,9
Nyakunde,2026-05-18,3
Mongbalu,2026-05-19,4
Rwampara,2026-05-19,13
Bunia,2026-05-19,30
Nyakunde,2026-05-19,5
Komanda,2026-05-19,2
Mangala,2026-05-19,1
Mongbalu,2026-05-20,6
Rwampara,2026-05-20,25
Bunia,2026-05-20,30
Nyakunde,2026-05-20,9
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,1
Rwampara,2026-05-21,12
Bunia,2026-05-21,41
Nyakunde,2026-05-21,9
Nizi,2026-05-21,ND
Kilo,2026-05-21,ND
Mongbalu,2026-05-22,7
Rwampara,2026-05-22,8
Bunia,2026-05-22,28
Nyakunde,2026-05-22,6
Nizi,2026-05-22,1
Kilo,2026-05-22,ND
Bambu,2026-05-22,0
Komanda,2026-05-22,1
Tchomia,2026-05-22,1
Adi,2026-05-22,5
Mongbalu,2026-05-23,ND
Rwampara,2026-05-23,3
Bunia,2026-05-23,22
Nyakunde,2026-05-23,ND
Nizi,2026-05-23,0
Kilo,2026-05-23,8
Aru,2026-05-23,1
Bambu,2026-05-23,ND
