nom,date,new_all_admissions
Bunia,2026-05-20,28
Rwampara,2026-05-20,37
Mongbalu,2026-05-20,21
Nyakunde,2026-05-20,15
Bunia,2026-05-21,36
Rwampara,2026-05-21,76
Mongbalu,2026-05-21,27
Nyakunde,2026-05-21,16
Bunia,2026-05-22,11
Rwampara,2026-05-22,11
Mongbalu,2026-05-22,4
Nyakunde,2026-05-22,2
Bunia,2026-05-23,9
Rwampara,2026-05-23,4
Mongbalu,2026-05-23,3
Nyakunde,2026-05-23,7
Aru,2026-05-23,0
Bunia,2026-05-24,9
Rwampara,2026-05-24,6
Mongbalu,2026-05-24,5
Nyakunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,14
Rwampara,2026-05-27,8
Mongbalu,2026-05-27,10
Nyakunde,2026-05-27,39
Bambu,2026-05-27,6
