nom,date,new_other
Bunia,2026-05-20,12
Rwampara,2026-05-20,12
Mongbalu,2026-05-20,9
Nyakunde,2026-05-20,0
Bunia,2026-05-21,31
Rwampara,2026-05-21,12
Mongbalu,2026-05-21,9
Nyakunde,2026-05-21,0
Bunia,2026-05-22,8
Rwampara,2026-05-22,10
Mongbalu,2026-05-22,4
Nyakunde,2026-05-22,1
Bunia,2026-05-23,6
Rwampara,2026-05-23,2
Mongbalu,2026-05-23,3
Nyakunde,2026-05-23,4
Aru,2026-05-23,0
Bunia,2026-05-24,6
Rwampara,2026-05-24,4
Mongbalu,2026-05-24,5
Nyakunde,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-27,2
Rwampara,2026-05-27,2
Mongbalu,2026-05-27,1
Nyakunde,2026-05-27,0
Bambu,2026-05-27,3
