osm_type,osm_id,osm_url,name,alt_name,category,operator,operator_type,capacity,population,start_date,end_date,ref_unhcr,lat,lon,geometry_type
node,1158948215,https://www.openstreetmap.org/node/1158948215,Kashuga IDP Camp,,refugee_site,,,,,,,,-1.055243,28.990276,Point
node,2081465086,https://www.openstreetmap.org/node/2081465086,"Camp de Ruthsuru, site 5 (personnes déplacées)",,refugee_site,,,,,,,,-1.180800,29.446486,Point
node,5220061243,https://www.openstreetmap.org/node/5220061243,Kiaghala IDP Camp,,refugee_site,,,,,,,,-0.934015,29.066399,Point
node,5223365300,https://www.openstreetmap.org/node/5223365300,Kalengera IDP Camp,,refugee_site,,,,,,,,-1.188556,28.932849,Point
node,7049368268,https://www.openstreetmap.org/node/7049368268,Kasoko IDP Camp,,refugee_site,,,,,,,,-1.088096,29.123329,Point
node,7049406310,https://www.openstreetmap.org/node/7049406310,Ibuga IDP Camp,,refugee_site,,,,,,,,-1.048481,28.987185,Point
node,7049420111,https://www.openstreetmap.org/node/7049420111,Kalembe Kalonge IDP Camp,,refugee_site,,,,,,,,-1.028020,28.942130,Point
node,7053162178,https://www.openstreetmap.org/node/7053162178,Mungote IDP Camp,,refugee_site,,,,,,,,-1.237491,29.055485,Point
node,7053164310,https://www.openstreetmap.org/node/7053164310,Bambu IDP Camp,,refugee_site,,,,,,,,-1.077605,29.229866,Point
node,7053176440,https://www.openstreetmap.org/node/7053176440,Nyanzale Marche IDP Camp,,refugee_site,,,,,,,,-1.021653,29.114950,Point
node,7053270178,https://www.openstreetmap.org/node/7053270178,Mweso IDP Camp,,refugee_site,,,,,,,,-1.128912,29.039266,Point
node,7053274609,https://www.openstreetmap.org/node/7053274609,Kihondo IDP Camp,,refugee_site,,,,,,,,-1.054301,29.117686,Point
node,7565615147,https://www.openstreetmap.org/node/7565615147,Kasama IDP camp,,refugee_site,,,,,,,,-6.032731,29.200836,Point
way,196571289,https://www.openstreetmap.org/way/196571289,,,refugee_generic,,,,,,,,-1.364503,28.790119,Polygon
way,196571290,https://www.openstreetmap.org/way/196571290,,,refugee_generic,,,,,,,,-1.363655,28.789121,Polygon
way,196571291,https://www.openstreetmap.org/way/196571291,,,refugee_site,,,,,,,,-1.336967,28.781614,Polygon
way,196600934,https://www.openstreetmap.org/way/196600934,,,refugee_site,,,,,,,,-1.331587,28.771891,Polygon
way,196608660,https://www.openstreetmap.org/way/196608660,,,refugee_generic,,,,,,,,-1.364983,28.772951,Polygon
way,196608661,https://www.openstreetmap.org/way/196608661,,,refugee_generic,,,,,,,,-1.364100,28.776816,Polygon
way,196608665,https://www.openstreetmap.org/way/196608665,,,refugee_generic,,,,,,,,-1.369869,28.762927,Polygon
way,196609466,https://www.openstreetmap.org/way/196609466,,,refugee_generic,,,,,,,,-1.367848,28.783861,Polygon
way,196609467,https://www.openstreetmap.org/way/196609467,,,refugee_generic,,,,,,,,-1.362951,28.793741,Polygon
way,196609472,https://www.openstreetmap.org/way/196609472,,,refugee_generic,,,,,,,,-1.358691,28.790253,Polygon
way,196614911,https://www.openstreetmap.org/way/196614911,,,refugee_generic,,,,,,,,-1.321687,28.762107,Polygon
