osm_type,osm_id,name
relation,12306400,Mulongwe
relation,12391443,
relation,12393895,
relation,12741799,
relation,12741800,
relation,12741801,
relation,12741802,
relation,12741803,
relation,15656489,Salama
relation,17519343,Camp de Bulengo
relation,17537237,Camp de Shabindu
relation,17747170,Camp de Rusayo 3
relation,17922699,Camp de Rusayo 2
relation,17922734,
relation,17922735,Lushgala extension
relation,17975643,Camp de Nzulo
relation,18316752,Camp de Lushagala
relation,18316797,Camp de Lwashi
relation,18546477,Camp de Rusayo 1
relation,19405982,
relation,20292547,
