,nom,pop_count
1,Wembo Nyama,168477.451275648
2,Kole,69004.6998319186
3,Pania Mutombo,81712.4263893776
4,Minga,136895.281479291
5,Lusambo,81308.2364085111
6,Dikungu,112559.625054203
7,Vanga Kete,285707.439567819
8,Lodja,485365.23003077
9,Omendjadi,83986.8590814473
10,Djalo Djeka,353287.098146217
11,Katako Kombe,122380.938535451
12,Bena Dibele,238535.236332997
13,Kamiji,91227.4081357294
14,Tshitenge,174383.541346608
15,Miabi,172074.752992768
16,Ngandajika,232265.178370743
17,Mulumba,242528.598979745
18,Tshilenge,275463.820725317
19,Cilundu,210624.443051566
20,Lubao,166672.32567346
21,Kalonda Est,131615.018877813
22,Kabinda,355815.361316978
23,Ludimbi Lukula,137727.329987655
24,Kalambayi Kabanga,157853.29822595
25,Makota,114598.820495396
26,Mwene Ditu,300673.687026466
27,Wikong,108202.058052814
28,Luputa,315091.564837953
29,Kanda Kanda,179610.456346385
30,Bonzola,369052.355225922
31,Dibindi,148279.467992479
32,Kansele,146459.970814667
33,Muya,159901.420599914
34,Diulu,205712.864149838
35,Bipemba,197370.776182648
36,Mpokolo,78557.0466163307
37,Nzaba,267348.219849876
38,Kabeya Kamuanga,220205.231877248
39,Mukumbi,186124.220427559
40,Lukelenge,214785.719289815
41,Tshishimbi,194456.681438655
42,Lubilanji,150016.404122241
43,Kamana,138364.045840222
44,Kasansa,308120.402876909
45,Bibanga,204771.839852969
46,Kalenda,223277.193805014
47,Tshofa,156306.526809126
48,Pimu,236791.391338391
49,Nyanga,151788.393938156
50,Kalonda Ouest,274997.990054488
51,Kamonia,227934.964503827
52,Mutena,140135.955295187
53,Banga Lubaka,81206.7388247925
54,Kamwesha,392581.868520555
55,Mweka,285068.909124484
56,Moba,656414.669666685
57,Bogosenubia,120638.670652881
58,Moanda,483746.593816408
59,Kitona,35548.8939390421
60,Boma,416172.313990779
61,Boma Bungu,82994.6130068094
62,Seke-Banza,285668.601477758
63,Inga,210689.259189376
64,Lukula,365163.497000384
65,Tshela,50361.9174081612
66,Vaku,238717.003938127
67,Kizu,135348.478581075
68,Kibunzi,82600.9326007028
69,Luozi,212008.731999681
70,Kimpangu,152040.77324626
71,Ngidinga,134630.026900323
72,Boko-Kivulu,524081.304513683
73,Mbanza-Ngungu,202473.638332186
74,Kwilu-Ngongo,329452.382746499
75,Kisantu,430365.403698942
76,Mikope,226662.100229312
77,Oshwe,187089.547269424
78,Bosobe,90815.8253103372
79,Bokoro,414436.779123802
80,Masi-Manimba,347696.690506243
81,Yasa-Bonga,400316.853638473
82,Idiofa,681929.422393011
83,Ipamu,376759.362845895
84,Koshibanda,357238.166001876
85,Kingandu,119308.014909269
86,Bulungu,431715.246408627
87,Bagata,380223.382487838
88,Bandundu,298235.089385987
89,Kajiji,91932.6748258865
90,Kikwit-Nord,433464.010055093
91,Lusanga,392516.000193001
92,Feshi,154950.488269577
93,Wamba Lwadi,323503.844312801
94,Panzi,260881.558150213
95,Tembo,75300.0276028087
96,Moanza,415778.687476406
97,Kimbau,194329.746081053
98,Kenge,444536.346608523
99,Boko,350586.240068219
100,Viadana,148039.645862327
101,Poko,262899.824668078
102,Basali,67798.4106286067
103,Basoko,163032.982470256
104,Bengamisa,195050.749280063
105,Yakusu,160042.626358371
106,Yahisuli,137031.864544051
107,Yabaondo,250442.529577238
108,Isangi,211493.472223288
109,Yaleko,187617.157008598
110,Banalia,191745.129659095
111,Bafwasende,153666.89081197
112,Bafwagbogbo,55969.1557642159
113,Buta,277007.517460806
114,Titule,64396.5723400752
115,Ganga,245787.157729384
116,Vanga,431330.653079098
117,Djuma,386424.12300658
118,Sia,188296.299650853
119,Mungindu,211104.867871177
120,Kimputu,244623.791346012
121,Mosango,159752.624758059
122,Pay Kongila,152159.952730664
123,Matadi,562001.750247243
124,Nzanza,5524.14931725314
125,Ndjili,259805.933630237
126,Mont Ngafula I,836440.632919958
127,Biyela,321186.172263711
128,Kikimi,227201.06900414
129,Lemba,346614.306919949
130,Matete,141622.242583427
131,Kisenso,390671.923118479
132,Lingwala,78630.2609070053
133,Barumbu,116456.193846891
134,Kinshasa,96057.9350902333
135,Limete,275017.234668376
136,Kalamu II,70432.5038374228
137,Kalamu I,104717.317508944
138,Bumbu,144524.449753826
139,Makala,156207.13209152
140,Ngaba,96807.7667485523
141,Bandalungwa,181625.705680773
142,Selembao,477946.864823676
143,Masina I,126319.822245137
144,Kintambo,127378.304078551
145,Kasa-Vubu,101759.94479384
146,Ngiri-Ngiri,100290.695763528
147,Binza Meteo,1000233.24686427
148,Binza Ozone,434109.294674343
149,Kikongo,259092.570021006
150,Mont Ngafula II,564790.460418003
151,Sona-Bata,155127.534979289
152,Nsele,841104.364105085
153,Kanzala,268939.328899033
154,Tshikapa,400375.490400181
155,Kingasani,289584.352546292
156,Kimbanseke,268753.817669726
157,Bwamanda,393985.069075147
158,Kungu,403887.846132055
159,Loko,129292.105801687
160,Bangabola,165747.822432583
161,Boso Mondanda,125912.805552624
162,Budjala,214656.603596464
163,Binga,175621.63077018
164,Yamaluka,664492.849341876
165,Boso Manzi,179435.178791679
166,Karawa,371086.144465976
167,Bominenge,195432.406187702
168,Gemena,550895.43369081
169,Mbaya,136799.504042577
170,Bulu,178348.816646139
171,Tandala,318028.412206212
172,Kibombo,150614.372410232
173,Kindu,380316.002301048
174,Alunguli,78433.0304777758
175,Kokolo,31841.7418724292
176,Police,2081.75606991775
177,Makiso-Kisangani,1141442.9489115
178,Mangobo,4566.83972537834
179,Kabondo,4940.35712880777
180,Tshopo,24500.0873433005
181,Kaniama,283343.008301628
182,Kalemie,342190.840340439
183,Kansimba,39468.2090199498
184,Butumba,97066.8829186366
185,Kinkondja,113074.089218111
186,Baka,206722.792472236
187,Kiyambi,116957.214493575
188,Manono,343601.326085412
189,Samba,156289.763315138
190,Kasongo,510251.99694459
191,Kunda,151623.153478014
192,Saramabila,256967.029346615
193,Kampene,224613.889201797
194,Nyemba,379939.532673108
195,Nyunzu,253078.952913398
196,Kabambare,103853.571783064
197,Pangi,76354.8228671096
198,Kalima,209205.047587986
199,Yalimbongo,173584.757407923
200,Aketi,168220.781730584
201,Lolo,186170.69718447
202,Yamongili,55475.0496016853
203,Abuzi,38304.646006013
204,Yambuku,276417.178964563
205,Wasolo,201817.098981593
206,Bosondjo,113506.089126966
207,Bumba,112943.339069904
208,Mondombe,240323.141723823
209,Djolu,362638.541812547
210,Opienge,53026.52093773
211,Obokote,29962.2709339086
212,Lowa,91983.2295066974
213,Wanierukula,129717.921623515
214,Lubutu,181487.015642074
215,Kitenda,124952.088750094
216,Kasongo Lunda,170337.64376249
217,Popokabaka,288476.67611855
218,Kimvula,160870.831402376
219,Maluku I,195099.206982483
220,Kimpese,362464.966660565
221,Nsona-Mpangu,381146.785884526
222,Kangu,289321.287688596
223,Kuimba,150209.847139397
224,Kinkonzi,112829.3000075
225,Mangembo,139668.131030782
226,Gombe-Matadi,177116.392902737
227,Masa,159661.456302328
228,Bokonzi,162818.140352461
229,Mawuya,156833.395091784
230,Zongo,112640.39779832
231,Libenge,303035.158123604
232,Bili (Nord-Ubangi),216988.426418709
233,Gbadolite,182242.696666822
234,Mobayi Mbongo,173991.250904117
235,Yakoma,184784.178097612
236,Monga,129589.554286508
237,Bondo,271684.143326162
238,Bili (Bas-Uele),82470.3953545547
239,Ango,161144.233559466
240,Opala,199516.191073744
241,Kahemba,241167.870867758
242,Gungu,394248.178480235
243,Kitangwa,138069.434794599
244,Mukedi,279913.377932516
245,Kongolo,383213.895392717
246,Mbulula,268282.259391451
247,Kabalo,295806.399862532
248,Bukama,282706.229341709
249,Kabondo Dianda,271621.82842054
250,Kabongo,451684.513319245
251,Songa,278088.877579957
252,Kayamba,156491.650491116
253,Kitenge,97365.0673482869
254,Ankoro,245549.14396823
255,Mulongo,199523.905177644
256,Lwamba,332940.304402098
257,Mukanga,209403.198657664
258,Malemba,107646.360502433
259,Kinda,87483.1626823732
260,Kamina,32265.8148156821
261,Kikwit-Sud,296477.737264738
262,Kenya,4426.73110805985
263,Kamalondo,7880.42065633259
264,Tshamilemba,232331.08237827
265,Pweto,133677.507880471
266,Lukafu,86352.4260565137
267,Mufunga Sampwe,93971.1248614186
268,Kilwa,266320.093734769
269,Kapolowe,163588.196329421
270,Panda,4323.21818786085
271,Kashobwe,102936.153949165
272,Kampemba,11569.5563584012
273,Rwashi,24447.6436124516
274,Bena Tshiadi,76446.3602782709
275,Yangala,170274.658666275
276,Ilebo,252101.874633511
277,Luebo,304486.335933446
278,Bena Leka,297894.270167794
279,Muetshi,150037.966513073
280,Tshikula,203509.624368684
281,Dibaya,163014.251344098
282,Kalomba,94129.5072152741
283,Tshibala,216648.06264815
284,Mushenge,141319.160122715
285,Bulape,179204.062539836
286,Masuika,303881.818028662
287,Luiza,281997.416176773
288,Katoka,278674.324284925
289,Ndesha,173310.296270757
290,Tshikaji,30218.61044037
291,Bilomba,133996.007490122
292,Ndekesha,224366.509748192
293,Bunkonde,88943.8729043437
294,Mikalayi,286054.802297445
295,Luambo,257470.030273819
296,Katende,169548.223852943
297,Ndjoko-Mpunda,195783.383701157
298,Lubondaie,118519.93690977
299,Kakenge,127522.494883918
300,Rwampara,61295.4378765577
301,Bunia,715168.965904956
302,Jiba,71960.3321929866
303,Linga,107102.240738088
304,Mangala,82615.5931239232
305,Damas,88590.4849375233
306,Fataki,150054.73248271
307,Drodro,210812.010205341
308,Tchomia,64496.4016996342
309,Rethy,283946.103237229
310,Nyakunde,94512.890573238
311,Nizi,146118.973071175
312,Bambu,142109.991969287
313,Kilo,38313.9613406434
314,Mongbalu,159146.550476279
315,Komanda,222354.522995215
316,Gethy,171769.731996906
317,Boga,73524.1417668086
318,Nia-Nia,85262.1174700916
319,Mandima,274950.393775584
320,Lolwa,37145.3723316995
321,Lita,91650.1178584223
322,Boma-Mangbetu,254167.066027677
323,Isiro,517113.775411413
324,Wamba,234178.704366385
325,Doruma,73656.0446594779
326,Pawa,269053.123007754
327,Niangara,182939.987300613
328,Rungu,193018.131918563
329,Mambasa,164108.837667904
330,Rimba,174926.426294608
