,nom,pop_density
1,Wembo Nyama,43.4468540798958
2,Kole,20.5819574112416
3,Pania Mutombo,16.8350397340143
4,Minga,20.8144006971153
5,Lusambo,21.6391896960391
6,Dikungu,41.2152035220645
7,Vanga Kete,49.3340036787013
8,Lodja,148.366458561981
9,Omendjadi,35.7810338563457
10,Djalo Djeka,24.2480910125377
11,Katako Kombe,16.5288880946916
12,Bena Dibele,17.707997664717
13,Kamiji,65.7222283765157
14,Tshitenge,773.769300232449
15,Miabi,384.973486123199
16,Ngandajika,262.78905496037
17,Mulumba,280.202580244729
18,Tshilenge,485.879204423372
19,Cilundu,169.88551324952
20,Lubao,22.0380725787789
21,Kalonda Est,32.2473092160576
22,Kabinda,65.1699212672031
23,Ludimbi Lukula,25.3036317967583
24,Kalambayi Kabanga,40.5901362791607
25,Makota,1781.73918570802
26,Mwene Ditu,798.751593573924
27,Wikong,151.88900689475
28,Luputa,98.456611547014
29,Kanda Kanda,74.9181584567794
30,Bonzola,12538.3702245965
31,Dibindi,31689.2997331455
32,Kansele,33482.4946581875
33,Muya,16945.0929882383
34,Diulu,22655.1929366097
35,Bipemba,12095.9580534895
36,Mpokolo,3959.77055382593
37,Nzaba,9642.02890760771
38,Kabeya Kamuanga,101.202887531475
39,Mukumbi,125.080098072469
40,Lukelenge,11225.8931710483
41,Tshishimbi,288.526835746077
42,Lubilanji,34711.4753386882
43,Kamana,17.3410424467274
44,Kasansa,232.664024469909
45,Bibanga,106.680328466436
46,Kalenda,54.7947756761327
47,Tshofa,27.2052171569896
48,Pimu,41.2896896855932
49,Nyanga,63.490183985889
50,Kalonda Ouest,91.1324866516603
51,Kamonia,48.1852844939133
52,Mutena,53.9967020208489
53,Banga Lubaka,23.8585720893678
54,Kamwesha,84.8465266225783
55,Mweka,88.2145461529153
56,Moba,34.3436699823005
57,Bogosenubia,31.2912627346478
58,Moanda,396.037929404639
59,Kitona,239.587010374757
60,Boma,2992.70818315365
61,Boma Bungu,31.9769604557437
62,Seke-Banza,160.729066087658
63,Inga,116.515499311356
64,Lukula,163.300517608531
65,Tshela,123.048553759888
66,Vaku,273.405204240092
67,Kizu,421.234861390927
68,Kibunzi,37.8555509254019
69,Luozi,77.099308368939
70,Kimpangu,102.951673876818
71,Ngidinga,47.2528353540668
72,Boko-Kivulu,264.568657262781
73,Mbanza-Ngungu,477.888711199916
74,Kwilu-Ngongo,159.024365477514
75,Kisantu,250.857808742084
76,Mikope,19.7326606319162
77,Oshwe,11.9337428557524
78,Bosobe,14.0312541344365
79,Bokoro,43.8193206214744
80,Masi-Manimba,105.001840011704
81,Yasa-Bonga,142.303908804049
82,Idiofa,113.218606957041
83,Ipamu,135.956006738782
84,Koshibanda,71.4483575433726
85,Kingandu,45.3564895756486
86,Bulungu,145.80084300052
87,Bagata,45.4995016357847
88,Bandundu,823.762771110969
89,Kajiji,13.7453680402812
90,Kikwit-Nord,4574.9446322049
91,Lusanga,109.028973255294
92,Feshi,22.5942513173799
93,Wamba Lwadi,57.6416769884361
94,Panzi,28.6307416861725
95,Tembo,20.6388329407753
96,Moanza,63.1574496547001
97,Kimbau,46.6380322527852
98,Kenge,87.7101515506599
99,Boko,37.7611594119263
100,Viadana,35.6947430607059
101,Poko,14.7907192836333
102,Basali,5.84688140491253
103,Basoko,100.384956770789
104,Bengamisa,30.1803898448091
105,Yakusu,44.4179366721461
106,Yahisuli,42.0776800556191
107,Yabaondo,52.6248582387497
108,Isangi,98.4510404073782
109,Yaleko,21.7740353714685
110,Banalia,11.1812737496794
111,Bafwasende,8.94360414028581
112,Bafwagbogbo,6.26222119245588
113,Buta,25.5031124949194
114,Titule,9.64058497646884
115,Ganga,24.8602175501692
116,Vanga,201.482868376272
117,Djuma,131.653346534747
118,Sia,70.3100998416191
119,Mungindu,80.5212108643228
120,Kimputu,93.2110799605845
121,Mosango,95.67111175967
122,Pay Kongila,104.459097321234
123,Matadi,8772.1744094864
124,Nzanza,119.292097730849
125,Ndjili,28832.0985843277
126,Mont Ngafula I,2093.68434228816
127,Biyela,3613.0663500485
128,Kikimi,1543.31766863644
129,Lemba,25224.3696964342
130,Matete,30106.0622320154
131,Kisenso,25155.0030787231
132,Lingwala,30060.6269920816
133,Barumbu,27678.284134678
134,Kinshasa,32002.5494513358
135,Limete,22249.8782800825
136,Kalamu II,28727.7964897196
137,Kalamu I,29914.5783044959
138,Bumbu,33316.2971994496
139,Makala,30397.8971169733
140,Ngaba,34842.879532252
141,Bandalungwa,30886.6619326638
142,Selembao,23827.1555464936
143,Masina I,8756.61743754534
144,Kintambo,32030.4934976083
145,Kasa-Vubu,26913.8932603642
146,Ngiri-Ngiri,33249.8396568471
147,Binza Meteo,20965.7159236716
148,Binza Ozone,20707.3759998732
149,Kikongo,41.7628242187554
150,Mont Ngafula II,4391.53214202167
151,Sona-Bata,48.2337497775617
152,Nsele,1023.31655857464
153,Kanzala,1194.73540764257
154,Tshikapa,178.187161195977
155,Kingasani,30978.6938892984
156,Kimbanseke,15172.9888994788
157,Bwamanda,116.931617792973
158,Kungu,93.2802382127911
159,Loko,25.6963749048897
160,Bangabola,66.8494516930578
161,Boso Mondanda,36.0540655788946
162,Budjala,47.1541227573821
163,Binga,37.6158037656136
164,Yamaluka,157.185962964174
165,Boso Manzi,31.160215499115
166,Karawa,93.0068214964282
167,Bominenge,85.8937974608013
168,Gemena,309.97572177206
169,Mbaya,48.8280806740489
170,Bulu,97.9543296858162
171,Tandala,173.330713734581
172,Kibombo,12.0265877607998
173,Kindu,1565.91161846809
174,Alunguli,1103.4662466413
175,Kokolo,25379.182550102
176,Police,25149.9097738428
177,Makiso-Kisangani,2279.91967786528
178,Mangobo,42.0368269619119
179,Kabondo,18.5933012781816
180,Tshopo,56.3280713150705
181,Kaniama,20.8995339692695
182,Kalemie,23.370590461321
183,Kansimba,3.86876297706744
184,Butumba,17.7187238846292
185,Kinkondja,25.2995869381203
186,Baka,29.0258312098022
187,Kiyambi,7.19937471898924
188,Manono,36.6634688347074
189,Samba,21.4541455851988
190,Kasongo,92.3682685132213
191,Kunda,40.5927640376067
192,Saramabila,58.916190810516
193,Kampene,37.9056493945053
194,Nyemba,33.4216975395569
195,Nyunzu,16.2390282967162
196,Kabambare,10.124654885015
197,Pangi,17.0781499721279
198,Kalima,52.6690052922608
199,Yalimbongo,18.396288431354
200,Aketi,11.8291894063456
201,Lolo,67.2391224929238
202,Yamongili,28.3830108678259
203,Abuzi,6.21874085863355
204,Yambuku,50.0488315529107
205,Wasolo,32.3336914552171
206,Bosondjo,28.194345380595
207,Bumba,79.0668558262269
208,Mondombe,31.0637982645446
209,Djolu,34.1387571947436
210,Opienge,2.33761327629335
211,Obokote,5.59972189090845
212,Lowa,6.1213630362781
213,Wanierukula,9.0637987100649
214,Lubutu,17.1893845538326
215,Kitenda,23.0555162166335
216,Kasongo Lunda,58.3940673530338
217,Popokabaka,46.3707776723356
218,Kimvula,41.9251822166014
219,Maluku I,36.1671233961084
220,Kimpese,102.184737289676
221,Nsona-Mpangu,84.8567562416119
222,Kangu,215.284948827655
223,Kuimba,232.865242392384
224,Kinkonzi,105.933327331334
225,Mangembo,60.322681202
226,Gombe-Matadi,63.9646232882045
227,Masa,300.465362756651
228,Bokonzi,25.4859997327433
229,Mawuya,43.8272783234158
230,Zongo,147.888102372224
231,Libenge,33.3454326304959
232,Bili (Nord-Ubangi),38.0928157202429
233,Gbadolite,145.489750905832
234,Mobayi Mbongo,20.3369873720379
235,Yakoma,90.3448364611452
236,Monga,16.7966570442842
237,Bondo,30.8013243489836
238,Bili (Bas-Uele),3.90749272252173
239,Ango,4.69636636800321
240,Opala,11.1905925064331
241,Kahemba,18.5590973932743
242,Gungu,67.4474818657633
243,Kitangwa,18.9058085122188
244,Mukedi,75.5325712730725
245,Kongolo,74.0754201688871
246,Mbulula,34.0338962185948
247,Kabalo,20.2542220666807
248,Bukama,51.4567411762463
249,Kabondo Dianda,42.9976528737436
250,Kabongo,44.3035324252103
251,Songa,16.7374852009202
252,Kayamba,26.6482776352878
253,Kitenge,21.5716490681767
254,Ankoro,29.0471212750253
255,Mulongo,69.607726990323
256,Lwamba,175.948362261505
257,Mukanga,36.2232306179789
258,Malemba,65.163323495298
259,Kinda,5.12365493135667
260,Kamina,315.615886582554
261,Kikwit-Sud,5002.98091073671
262,Kenya,14.1702293776945
263,Kamalondo,55.8115952213681
264,Tshamilemba,758.649633596513
265,Pweto,14.0827835717001
266,Lukafu,11.6941402116172
267,Mufunga Sampwe,8.99229929095176
268,Kilwa,17.7059456189619
269,Kapolowe,35.0339597237863
270,Panda,5.34594573342324
271,Kashobwe,14.0254615555324
272,Kampemba,15.9225291410873
273,Rwashi,33.01714304158
274,Bena Tshiadi,33.7303918107647
275,Yangala,29.6884406484148
276,Ilebo,176.843561211057
277,Luebo,48.8952953726774
278,Bena Leka,69.3507922736146
279,Muetshi,43.4060489855814
280,Tshikula,82.3696006736389
281,Dibaya,115.601694142802
282,Kalomba,77.9912645235786
283,Tshibala,81.1862173689661
284,Mushenge,22.5388131161022
285,Bulape,44.9170426601124
286,Masuika,133.651588849587
287,Luiza,82.6066860855206
288,Katoka,1987.58490174444
289,Ndesha,1685.38758725991
290,Tshikaji,276.299335109752
291,Bilomba,106.069661319061
292,Ndekesha,56.4277993548721
293,Bunkonde,55.1713160990513
294,Mikalayi,87.6293134705752
295,Luambo,61.2548708261223
296,Katende,55.0895409357872
297,Ndjoko-Mpunda,69.000531508809
298,Lubondaie,61.2597646434851
299,Kakenge,25.2072804471583
300,Rwampara,131.21527973145
301,Bunia,1950.59978209238
302,Jiba,97.751423596995
303,Linga,183.612652388156
304,Mangala,131.42689388448
305,Damas,49.3984642548433
306,Fataki,381.857984920211
307,Drodro,324.815947081899
308,Tchomia,69.3767540070121
309,Rethy,427.157138557157
310,Nyakunde,109.703838617944
311,Nizi,612.711924902224
312,Bambu,305.118773380439
313,Kilo,112.254891259457
314,Mongbalu,117.007336519138
315,Komanda,69.6974122384128
316,Gethy,84.2377475870548
317,Boga,67.774438043161
318,Nia-Nia,12.7169343875331
319,Mandima,145.094483138987
320,Lolwa,4.03617090784348
321,Lita,212.369560847826
322,Boma-Mangbetu,178.642451276387
323,Isiro,116.663584715967
324,Wamba,34.08841701493
325,Doruma,5.02959046356115
326,Pawa,175.571882140493
327,Niangara,19.6002615095592
328,Rungu,38.9733916082874
329,Mambasa,9.2322634296107
330,Rimba,471.471681616187
331,Logo,577.87477434902
332,Angumu,132.313233426084
333,Nyarambe,431.55106134859
334,Mahagi,603.947823627179
335,Makoro,54.7031333680676
336,Kambala,96.4518423104214
337,Biringi,75.7122021920056
338,Laybo,142.381668390996
339,Ariwara,468.636029312197
340,Adi,259.629429403383
341,Aru,358.23529637665
342,Adja,149.690940680511
343,Aungba,175.497817513354
344,Faradje,30.7153693530108
345,Gombari,13.3023905265281
346,Dungu,15.9966532514624
347,Watsa,80.6134760216411
348,Demba,86.8914444736375
349,Mutoto,78.8108341076945
350,Lubunga (Kasaï-Central),38.1020441212225
351,Kananga,4080.80013470978
352,Maluku II,113.343821851434
353,Nselo,43.2706166922098
354,Lomela,9.40856325121249
355,Nioki,36.500475864281
356,Bolobo,45.0819725376383
357,Mushie,21.5480134166949
358,Kwamouth,13.5337637330451
359,Mokala,88.1485156650697
360,Kisanji,23.3594141730448
361,Lukonga,2672.40047585665
362,Tunda,5.90557457716249
363,Bosobolo,28.6042460643056
364,Businga,19.0857486927656
365,Boto,102.808424826762
366,Lisala,70.1583644737872
367,Ndage,69.1317600951765
368,Mwela Lembwa,32.6006247184094
369,Kingabwa,12522.3495188888
370,Likati,12.6783075086412
371,Yahuma,11.6390223250141
372,Ikela,11.0327328466005
373,Lubunga (Tshopo),71.7037169413396
374,Ubundu,15.1461754235497
375,Kailo,7.84733756969842
376,Ototo,31.1115960036717
377,Tshumbe,17.1494776998916
378,Lusangi,33.9538112689465
379,Bobozo,95.1550382246192
380,Punia,14.1482213519038
381,Kyondo,486.450575509426
382,Mabalako,192.950670227363
383,Biena,121.75168457847
384,Masereka,189.360660587976
385,Lubero,153.648493550555
386,Manguredjipa,10.8097458749047
387,Mutwanga,133.829069635576
388,Kamango,119.11139192825
389,Oicha,214.184297551526
390,Binza,150.788257819785
391,Rwanguba,471.10471593581
392,Rutshuru,420.803457724125
393,Birambizo,334.066709738939
394,Beni,9070.46337853388
395,Vuhovi,324.707755654509
396,Musienene,83.3766868091795
397,Butembo,3851.79998978756
398,Katwa,6492.11341617941
399,Kayna,142.632048056759
400,Goma,10628.8679577227
401,Karisimbi,8309.40646851582
402,Kibua,33.9173445071706
403,Masisi,312.28545458827
404,Mweso,256.809067519607
405,Kirotshe,572.616585926623
406,Pinga,8.73127720837587
407,Walikale,18.7860368429691
408,Kibirizi,152.084548325176
409,Kalunguta,243.66128904943
410,Alimbongo,153.858585438587
411,Nyiragongo,164.045289088912
412,Katoyi,378.452106484338
413,Bambo,172.228564032175
414,Itebero,20.7864247933848
415,Mwana,483.845021000801
416,Kaziba,426.936104354381
417,Nyantende,1672.62354132991
418,Nyangezi,608.873070820597
419,Kabare,555.745074762699
420,Mubumbano,403.271039417486
421,Walungu,942.453157867977
422,Hauts-Plateaux,107.931573446965
423,Kaniola,66.6706246683925
424,Kalonge,159.08222701463
425,Bunyakiri,49.6261448405173
426,Uvira,829.547745324044
427,Kitutu,47.1101577330763
428,Kamituga,80.2409348168686
429,Itombwe,35.8371913642904
430,Minembwe,33.5253040503663
431,Nundu,78.2951936918431
432,Ruzizi,416.945832212642
433,Lemera,277.661564684346
434,Fizi,75.4369364133508
435,Shabunda,52.3761603343026
436,Lulingu,23.4899911313115
437,Kalole,22.5604160924152
438,Mwenga,52.3107987391117
439,Mulungu,17.7270256783282
440,Bagira,7546.00775269142
441,Kadutu,16677.9475381249
442,Ibanda,15710.3453492441
443,Katana,794.694054949688
444,Lualaba,139.855924768021
445,Kafakumba,10.0207760099968
446,Kanzenze,4.66471788349041
447,Kasaji,16.1286244325318
448,Dilolo,19.8896450447097
449,Sandoa,11.0342271489437
450,Kalamba,8.87372637330149
451,Lubudi,14.1603594584845
452,Bunkeya,18.4287019817043
453,Fungurume,112.66151322521
454,Kambove,78.4960243021
455,Lubumbashi,3934.0206439791
456,Kisanga,39.4036248380366
457,Katuba,18.6442967592918
458,Mumbunda,66.1750634668996
459,Kipushi,177.682101177552
460,Sakania,17.271526307412
461,Kafubu,20.4722405583925
462,Kilela Balanda,6.14073666553741
463,Manika,2.42595124160433
